Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
400,128,0.0002,0.000001,0.0000,0.6137
400,256,0.0002,0.000001,0.0000,0.5902
400,512,0.0005,0.000001,0.0000,0.5852
400,128,0.0001,0.000001,0.0000,0.5704
400,256,0.0005,0.000001,0.0000,0.5512
400,512,0.0002,0.000001,0.0000,0.5477
400,256,0.0001,0.000001,0.0000,0.5456
400,128,0.0002,0.000001,0.0500,0.5435
400,512,0.0005,0.000001,0.0500,0.5406
400,256,0.0002,0.000001,0.0500,0.5282
400,128,0.0001,0.000001,0.0500,0.5207
400,256,0.0001,0.000001,0.0500,0.5164
400,512,0.0001,0.000001,0.0000,0.5090
400,512,0.0002,0.000001,0.0500,0.5061
400,256,0.0005,0.000001,0.0500,0.4979
400,512,0.0001,0.000001,0.0500,0.4977
400,128,0.0005,0.000001,0.0500,0.4967
400,128,0.0005,0.000001,0.0000,0.4734
400,512,0.0010,0.000001,0.0000,0.4457
400,512,0.0010,0.000001,0.0500,0.3874
400,256,0.0010,0.000001,0.0500,0.3565
400,256,0.0010,0.000001,0.0000,0.3406
400,128,0.0010,0.000001,0.0000,0.3300
400,128,0.0010,0.000001,0.0500,0.3252
