Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
200,512,0.0010,0.000001,0.0000,0.8410
200,256,0.0005,0.000001,0.0000,0.8406
200,1024,0.0010,0.000001,0.0000,0.8402
200,512,0.0005,0.000001,0.0000,0.8359
200,1024,0.0005,0.000001,0.0000,0.8298
200,256,0.0002,0.000001,0.0000,0.8283
200,256,0.0010,0.000001,0.0000,0.8259
200,512,0.0002,0.000001,0.0000,0.8198
200,256,0.0001,0.000001,0.0000,0.8145
200,1024,0.0002,0.000001,0.0000,0.8109
200,512,0.0001,0.000001,0.0000,0.8100
200,1024,0.0001,0.000001,0.0000,0.7948
