Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
200,256,0.0010,0.000001,0.0000,0.8053
200,512,0.0010,0.000001,0.0000,0.8046
200,512,0.0005,0.000001,0.0000,0.8008
200,256,0.0005,0.000001,0.0000,0.7988
200,1024,0.0005,0.000001,0.0000,0.7945
200,1024,0.0010,0.000001,0.0000,0.7943
200,256,0.0002,0.000001,0.0000,0.7875
200,512,0.0002,0.000001,0.0000,0.7757
200,256,0.0001,0.000001,0.0000,0.7746
200,1024,0.0001,0.000001,0.0000,0.7685
200,1024,0.0002,0.000001,0.0000,0.7606
200,512,0.0001,0.000001,0.0000,0.7572
